node_type,relation,filter,join_type,plan_rows,actual_rows,total_cost,actual_time,parent_node,query_name
Seq Scan,customer,,,599,10.0,14.99,0.021,,query1
Nested Loop,,,Inner,1000,15.0,220.11,0.649,,query2
Merge Join,,,Inner,1000,15.0,193.17,0.059,Nested Loop,query2
Index Scan,film,,,1000,15.0,127.33,0.014,Merge Join,query2
Index Only Scan,film_category,,,1000,15.0,50.84,0.032,Merge Join,query2
Memoize,,,,1,1.0,0.17,0.039,Nested Loop,query2
Index Scan,category,,,1,1.0,0.16,0.064,Memoize,query2
Seq Scan,payment,(amount > '5'::numeric),,3618,20.0,290.45,0.041,,query3
Limit,,,,2,2.0,1.02,0.367,,q1,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.364,Limit,q1,2025-10-14 19:23:59.474656
Limit,,,,62,62.0,1.08,0.034,,q2,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,62.0,253.96,0.029,Limit,q2,2025-10-14 19:23:59.474656
Limit,,,,20,20.0,0.32,0.029,,q3,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,20.0,16.0,0.027,Limit,q3,2025-10-14 19:23:59.474656
Limit,,,,27,27.0,0.49,0.026,,q4,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,27.0,11.0,0.023,Limit,q4,2025-10-14 19:23:59.474656
Limit,,,,118,118.0,1.6,0.06,,q5,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,233536,118.0,3174.36,0.053,Limit,q5,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,8.0,253.96,0.015,Nested Loop,q5,2025-10-14 19:23:59.474656
Materialize,,,,16,14.75,1.24,0.003,Nested Loop,q5,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.009,Materialize,q5,2025-10-14 19:23:59.474656
Limit,,,,49,49.0,0.78,0.02,,q6,2025-10-14 19:23:59.474656
Seq Scan,film_category,,,1000,49.0,16.0,0.015,Limit,q6,2025-10-14 19:23:59.474656
Limit,,,,13,13.0,0.24,0.015,,q7,2025-10-14 19:23:59.474656
Seq Scan,city,,,600,13.0,11.0,0.013,Limit,q7,2025-10-14 19:23:59.474656
Limit,,,,16,16.0,1.16,0.013,,q8,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.011,Limit,q8,2025-10-14 19:23:59.474656
Limit,,,,90,90.0,1.22,0.054,,q9,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,233536,90.0,3174.36,0.047,Limit,q9,2025-10-14 19:23:59.474656
Seq Scan,payment,,,14596,6.0,253.96,0.015,Nested Loop,q9,2025-10-14 19:23:59.474656
Materialize,,,,16,15.0,1.24,0.002,Nested Loop,q9,2025-10-14 19:23:59.474656
Seq Scan,category,,,16,16.0,1.16,0.006,Materialize,q9,2025-10-14 19:23:59.474656
Limit,,,,58,58.0,1.12,0.022,,q10,2025-10-14 19:23:59.474656
Seq Scan,rental,,,16044,58.0,310.44,0.017,Limit,q10,2025-10-14 19:23:59.474656
Limit,,,,116,116.0,2.36,0.095,,q11,2025-10-14 19:23:59.474656
Nested Loop,,,Inner,9162,116.0,186.36,0.076,Limit,q11,2025-10-14 19:23:59.474656
Seq Scan,inventory,,,4581,58.0,70.81,0.023,Nested Loop,q11,2025-10-14 19:23:59.474656
Materialize,,,,2,2.0,1.03,0.0,Nested Loop,q11,2025-10-14 19:23:59.474656
Seq Scan,store,,,2,2.0,1.02,0.007,Materialize,q11,2025-10-14 19:23:59.474656
